Round,Task,Loss,Accuracy,Micro_P,Micro_R,Micro_F1,Macro_P,Macro_R,Macro_F1,Weighted_P,Weighted_R,Weighted_F1
31,1,2.811110012721129,9.0545135253961e-05,9.0545135253961e-05,9.0545135253961e-05,9.0545135253961e-05,0.008378487155872917,0.017357275527740666,3.808341020083439e-05,0.0022449359654414807,9.0545135253961e-05,5.5935566468255216e-05
32,1,2.805241796326216,0.00024344831148282383,0.00024344831148282383,0.00024344831148282383,0.00024344831148282383,0.07676352503810377,9.651702681122042e-05,6.879311694470251e-05,0.14487722519516005,0.00024344831148282386,0.000170392138762672
33,1,2.7311831345955113,0.01085029912963292,0.01085029912963292,0.01085029912963292,0.01085029912963292,0.15300159648227676,0.006729340235588156,0.010602576409085648,0.15923521009526567,0.01085029912963292,0.01478988245794491
34,1,2.695190792447596,0.09941430682423724,0.09941430682423724,0.09941430682423724,0.09941430682423724,0.14124663284400962,0.057014292197458745,0.07256355491074443,0.1613822264236929,0.09941430682423724,0.12050549244799709
35,1,2.645016617996219,0.12588356305027823,0.12588356305027823,0.12588356305027823,0.12588356305027823,0.11337897783405204,0.06824135479915437,0.07769513310411112,0.1606536524931766,0.12588356305027823,0.13778905389697352
36,1,2.618588233708522,0.30003335210373355,0.30003335210373355,0.30003335210373355,0.30003335210373355,0.11145189640342683,0.13507319475920873,0.10117029639991464,0.20316552733165508,0.30003335210373355,0.20465815107217594
37,1,2.5821591828284,0.30545802925914867,0.30545802925914867,0.30545802925914867,0.30545802925914867,0.10218581791784905,0.1380875147237407,0.10123808492952106,0.20338492587827922,0.30545802925914867,0.20843090117890628
38,1,2.5657684522605457,0.305944453472713,0.305944453472713,0.305944453472713,0.305944453472713,0.10205981480794186,0.1391130739026783,0.10131598959158504,0.20342883101160336,0.305944453472713,0.2088086292582566
39,1,2.535837642476161,0.3073884515427631,0.3073884515427631,0.3073884515427631,0.3073884515427631,0.10202371941146426,0.14168822500994147,0.10177035394597567,0.20357180905194805,0.3073884515427631,0.2099205758288984
40,1,2.5278292517744267,0.30674550234755976,0.30674550234755976,0.30674550234755976,0.30674550234755976,0.10208930112555743,0.14641424390057725,0.10165859667740908,0.20365932411227547,0.30674550234755976,0.20958740396674702
41,1,2.501729427401191,0.3080345501339753,0.3080345501339753,0.3080345501339753,0.3080345501339753,0.10216303598484901,0.1533539691215251,0.10220632623942572,0.20386430858042878,0.3080345501339753,0.21068928638417184
42,1,2.496096940373334,0.30738955383136624,0.30738955383136624,0.30738955383136624,0.30738955383136624,0.10219105548142554,0.15862594818501732,0.10198135612890082,0.20402636572055036,0.30738955383136624,0.2104442710619828
43,1,2.472663774404252,0.30831279927135574,0.30831279927135574,0.30831279927135574,0.30831279927135574,0.14394358245228286,0.1661966101907444,0.10239873192335769,0.2999890125231049,0.30831279927135574,0.21136047179579862
44,1,2.473984156838009,0.30799093099925295,0.30799093099925295,0.30799093099925295,0.30799093099925295,0.14868122019060429,0.17319337982251537,0.10233030682922466,0.3109807492327934,0.30799093099925295,0.21147713899684434
45,1,2.4413209515265786,0.3091773084757805,0.3091773084757805,0.3091773084757805,0.3091773084757805,0.16912384021075635,0.1766182369847563,0.1028136803423798,0.35800497870511055,0.3091773084757805,0.21253525171569135
46,1,2.4433298182120793,0.3093201335847811,0.3093201335847811,0.3093201335847811,0.3093201335847811,0.17392459659534734,0.1780260436503547,0.10284116738180249,0.36905025618319126,0.3093201335847811,0.21263947399814753
47,1,2.4447781587300503,0.3096867232802093,0.3096867232802093,0.3096867232802093,0.3096867232802093,0.17061879274412753,0.17947060879882082,0.10295069929303352,0.35830800606075675,0.3096867232802093,0.21288916914172248
