Round,Task,Loss,Accuracy,Micro_P,Micro_R,Micro_F1,Macro_P,Macro_R,Macro_F1,Weighted_P,Weighted_R,Weighted_F1
31,1,2.4446916734279647,0.3028952082569605,0.3028952082569605,0.3028952082569605,0.3028952082569605,0.11761277002752997,0.1425805717161048,0.11794890966319937,0.2356128842140623,0.3028952082569605,0.24218335352264658
32,1,2.1789812738976453,0.34689006592315724,0.34689006592315724,0.34689006592315724,0.34689006592315724,0.1167618225463289,0.16596316273433973,0.13341842288631792,0.2360605526498325,0.34689006592315724,0.27326526682995217
33,1,2.020995132827642,0.3471974469736194,0.3471974469736194,0.3471974469736194,0.3471974469736194,0.11825601849503982,0.16653835107298484,0.13448896427852078,0.2382560610657628,0.3471974469736194,0.27459296549046136
34,1,1.9680326819431724,0.36787244442260864,0.36787244442260864,0.36787244442260864,0.36787244442260864,0.1437384953747113,0.2464348104676735,0.1700141330102998,0.2523631482720008,0.36787244442260864,0.2876041240772147
35,1,2.042693634741356,0.35490606611464054,0.35490606611464054,0.35490606611464054,0.35490606611464054,0.14102244009936368,0.24061801593259946,0.1628367069235567,0.2516702614436605,0.35490606611464054,0.2796567815188635
36,1,1.9201402867491355,0.3682815509641561,0.3682815509641561,0.3682815509641561,0.3682815509641561,0.14044390092773176,0.2477923351523678,0.16595255198003647,0.25131022610635423,0.3682815509641561,0.2864717213738068
37,1,1.8491751318231533,0.37208570640322597,0.37208570640322597,0.37208570640322597,0.37208570640322597,0.14218782082318213,0.24922240664396744,0.16796367237373241,0.2548517115913884,0.37208570640322597,0.2904732632266164
38,1,1.8358782389956525,0.3742030453399647,0.3742030453399647,0.3742030453399647,0.3742030453399647,0.15483931642122167,0.28620084214438424,0.18679711929953136,0.256900292898805,0.3742030453399647,0.2930171157725774
39,1,1.810599971331134,0.5578351933666161,0.5578351933666161,0.5578351933666161,0.5578351933666161,0.21826907442953447,0.3622230566272911,0.25339698368449104,0.4071715461006148,0.5578351933666161,0.45338850835294786
40,1,1.8136467479039309,0.5586878923360078,0.5586878923360078,0.5586878923360078,0.5586878923360078,0.2268676977916655,0.39112089513920173,0.2637799262174603,0.4083448336561472,0.5586878923360078,0.4550138311528568
41,1,1.787829533021651,0.5603797478719531,0.5603797478719531,0.5603797478719531,0.5603797478719531,0.23131265166069906,0.3973023954535895,0.2678797649724329,0.4107481077562198,0.5603797478719531,0.457192299164899
42,1,1.791045276727294,0.5597586869790112,0.5597586869790112,0.5597586869790112,0.5597586869790112,0.23477387530709412,0.4002936703126411,0.2708987627956761,0.41073566603878336,0.5597586869790112,0.45735108025789667
43,1,1.7731260821694188,0.5560587765478336,0.5560587765478336,0.5560587765478336,0.5560587765478336,0.2369805375335898,0.4009429523910745,0.27261423118892025,0.4077407708750249,0.5560587765478336,0.4549042664062337
44,1,1.7832295969343828,0.5596201135546225,0.5596201135546225,0.5596201135546225,0.5596201135546225,0.2400930466605745,0.40320915376673067,0.2751297736860224,0.4116180242014105,0.5596201135546225,0.4582445577946607
45,1,1.7613152546752715,0.5561630215557261,0.5561630215557261,0.5561630215557261,0.5561630215557261,0.3244786470751634,0.40303894788864253,0.27586914970274184,0.4097592149150304,0.5561630215557261,0.45558276147064913
46,1,1.763461728745743,0.5437761321133833,0.5437761321133833,0.5437761321133833,0.5437761321133833,0.3188446406351649,0.3977587261499078,0.271575322591364,0.395103539900462,0.5437761321133833,0.4438743595212713
47,1,1.7646598260991662,0.4048121826196172,0.4048121826196172,0.4048121826196172,0.4048121826196172,0.2610476660605154,0.3429423355489067,0.2216679198138601,0.27910914517226193,0.4048121826196172,0.32183909863456306
48,1,1.766363676984442,0.395915926243665,0.395915926243665,0.395915926243665,0.395915926243665,0.24217354269469227,0.33944784305348685,0.2125576877774936,0.2522158457385673,0.395915926243665,0.3025862105660631
49,1,1.7653947223970536,0.3954761130910314,0.3954761130910314,0.3954761130910314,0.3954761130910314,0.2706615896220315,0.33938937891487675,0.1869070189497217,0.3469831911393259,0.3954761130910314,0.25955428788880347
50,1,1.7657862250852112,0.3942905229635061,0.3942905229635061,0.3942905229635061,0.3942905229635061,0.2733039174106517,0.339016697421878,0.1862763042083704,0.35714814407655515,0.3942905229635061,0.2574390192199521
51,1,1.7668936539196791,0.39320744567606825,0.39320744567606825,0.39320744567606825,0.39320744567606825,0.2752379527383915,0.3387405240355191,0.18574242592357323,0.3598198151576275,0.39320744567606825,0.25543822987034037
52,1,1.7655782596534941,0.39475332670700414,0.39475332670700414,0.39475332670700414,0.39475332670700414,0.2791940338086963,0.3395306216283807,0.18723199099792062,0.36336981777066285,0.39475332670700414,0.25837884941576666
53,1,1.762840666423136,0.397576287819522,0.397576287819522,0.397576287819522,0.397576287819522,0.2814700155793081,0.3407859216475539,0.18951833395249953,0.36546042585577726,0.397576287819522,0.2636049168795322
