Round,Task,Loss,Accuracy,Micro_P,Micro_R,Micro_F1,Macro_P,Macro_R,Macro_F1,Weighted_P,Weighted_R,Weighted_F1
91,3,3.1342786649953447,0.14070208310484403,0.14070208310484403,0.14070208310484403,0.14070208310484403,0.01284821256592465,0.0791414582455828,0.01373371724657106,0.025239741924849818,0.14070208310484403,0.03550623561977976
92,3,3.105940405359716,0.1427109097102568,0.1427109097102568,0.1427109097102568,0.1427109097102568,0.0641296139938385,0.08326497579348521,0.017828777565079956,0.11783282421010177,0.1427109097102568,0.039615439003550426
93,3,3.1295148388580545,0.23979699217550166,0.23979699217550166,0.23979699217550166,0.23979699217550166,0.06503360102190982,0.11424361542802369,0.05895488754189962,0.15239646492744044,0.23979699217550166,0.14158136144994227
94,3,3.1658752383000057,0.22751819116430627,0.22751819116430627,0.22751819116430627,0.22751819116430627,0.05761777291765003,0.11045493047919888,0.05518518691036274,0.14105074164457998,0.22751819116430627,0.13460090173275782
95,3,3.192350161670683,0.22358834617485862,0.22358834617485862,0.22358834617485862,0.22358834617485862,0.0531990035009559,0.10877185879853245,0.053343823700876106,0.13423108452649743,0.22358834617485862,0.13223176026097327
96,3,3.225806736178814,0.23526914586517236,0.23526914586517236,0.23526914586517236,0.23526914586517236,0.05703112832039228,0.11905840985017808,0.06264519048206037,0.13907365788346715,0.23526914586517236,0.14910724047024485
97,3,3.242483141923058,0.14643686537632997,0.14643686537632997,0.14643686537632997,0.14643686537632997,0.05812659211655306,0.08282485590687258,0.024341952195563444,0.14661387054306665,0.14643686537632997,0.05703716302085173
98,3,3.2622508240443846,0.14700206673903157,0.14700206673903157,0.14700206673903157,0.14700206673903157,0.05996953026115925,0.08430551832252423,0.024962916011150603,0.15116156448097923,0.14700206673903157,0.0573671136659252
99,3,3.251998591613072,0.1460825574947392,0.1460825574947392,0.1460825574947392,0.1460825574947392,0.05646035817385542,0.08239123051512202,0.023986605377839698,0.142928843761216,0.1460825574947392,0.056635093112601204
100,3,3.2826660404962706,0.14557125397998452,0.14557125397998452,0.14557125397998452,0.14557125397998452,0.09425315547869723,0.08308061299783187,0.023752307679036445,0.13787588018396382,0.14557125397998452,0.05496976035725292
101,3,3.286932238934857,0.14512742954586066,0.14512742954586066,0.14512742954586066,0.14512742954586066,0.05726695107228454,0.08215308934651182,0.023298168433080964,0.13641070863213492,0.14512742954586066,0.05466163494596049
102,3,3.290721611337894,0.14479652580109628,0.14479652580109628,0.14479652580109628,0.14479652580109628,0.05733582908433373,0.08228997025435493,0.023430289386643648,0.1361096422716556,0.14479652580109628,0.054027469206738746
103,3,3.3030912768552816,0.14480250496013952,0.14480250496013952,0.14480250496013952,0.14480250496013952,0.06034738170271073,0.08656898113614538,0.025596652277261833,0.13593327084280474,0.14480250496013952,0.05397971673631438
104,3,3.303320439025068,0.14480916745164482,0.14480916745164482,0.14480916745164482,0.14480916745164482,0.06172322611935507,0.08823307367674611,0.027595477864233404,0.13584281253876035,0.14480916745164482,0.05399090244406888
105,3,3.3108853032348375,0.14492712771791216,0.14492712771791216,0.14492712771791216,0.14492712771791216,0.0626891159532691,0.09070770523442857,0.029612912546534028,0.1358166779242479,0.14492712771791216,0.05400802182726646
106,3,3.3142097395727306,0.14492815271660528,0.14492815271660528,0.14492815271660528,0.14492815271660528,0.06266468588471627,0.09131566560924352,0.029958091557463262,0.13575500648487265,0.14492815271660528,0.05392007501114978
107,3,3.316542137476558,0.14492413813839053,0.14492413813839053,0.14492413813839053,0.14492413813839053,0.06265472910293456,0.09163246974782413,0.03017254157174519,0.13571241700020545,0.14492413813839053,0.05389797984530213
108,3,3.3195009875107817,0.14492089230919564,0.14492089230919564,0.14492089230919564,0.14492089230919564,0.06269184288382353,0.09176853546042081,0.030284025884001933,0.13569704611250413,0.14492089230919564,0.05388201291201513
109,3,3.3243241403754156,0.14491269231965062,0.14491269231965062,0.14491269231965062,0.14491269231965062,0.06270039243800843,0.091810841288195,0.030324345088330668,0.13568314040981472,0.14491269231965062,0.05385449402723309
110,3,3.330109589332939,0.14491978189394475,0.14491978189394475,0.14491978189394475,0.14491978189394475,0.06268354551236756,0.09188021662838257,0.03034949675777777,0.1356723453092736,0.14491978189394475,0.053837280235564784
111,3,3.3339570684517015,0.14493233812793554,0.14493233812793554,0.14493233812793554,0.14493233812793554,0.06269543988762648,0.09198047719461278,0.030403360490190077,0.13566181646244269,0.14493233812793554,0.05383350097334529
112,3,3.337205744719925,0.1449532651845869,0.1449532651845869,0.1449532651845869,0.1449532651845869,0.06271991480032559,0.09212982517556541,0.030476496385516305,0.1356649287255962,0.1449532651845869,0.05383183519951851
113,3,3.339924097263584,0.14492362563904398,0.14492362563904398,0.14492362563904398,0.14492362563904398,0.06279272777404857,0.09226142651634321,0.03055658203537569,0.13566304127970075,0.14492362563904398,0.05375290059091078
114,3,3.3430061252083614,0.1449040652473168,0.1449040652473168,0.1449040652473168,0.1449040652473168,0.062822061196399,0.09230922585005086,0.030600548889556916,0.13566263087685823,0.1449040652473168,0.053716799759327
115,3,3.345745161906965,0.14490620066126084,0.14490620066126084,0.14490620066126084,0.14490620066126084,0.06289147121444541,0.0924221608538417,0.030703671825664053,0.13566003525626405,0.14490620066126084,0.05371482536077712
116,3,3.3463406389920256,0.14490714024339618,0.14490714024339618,0.14490714024339618,0.14490714024339618,0.06289203922436294,0.09243345236069196,0.030714179283823115,0.13565818513427766,0.14490714024339618,0.05371452481467588
117,3,3.3466553433468587,0.14491072773882213,0.14491072773882213,0.14491072773882213,0.14491072773882213,0.06292603032036582,0.09249435922430625,0.03075867718888577,0.13565790245080667,0.14491072773882213,0.053714291311378566
118,3,3.3475718292992576,0.14491243606997734,0.14491243606997734,0.14491243606997734,0.14491243606997734,0.0629005041915425,0.0924841058918952,0.03074039655056554,0.13565296883074043,0.14491243606997734,0.0537109891791379
119,3,3.3490644504695926,0.14491747564688523,0.14491747564688523,0.14491747564688523,0.14491747564688523,0.06292042844011124,0.0925271381865645,0.03075580503745674,0.13565824791208286,0.14491747564688523,0.05370628967373981
120,3,3.349598998101002,0.14491474231703688,0.14491474231703688,0.14491474231703688,0.14491474231703688,0.06291432524217712,0.09252288815751734,0.0307552886433874,0.13565811712193007,0.14491474231703688,0.053702390436768305
121,4,4.55314074362085,0.1745936946119091,0.1745936946119091,0.1745936946119091,0.1745936946119091,0.04162646729147569,0.09883136519947168,0.043919296844701944,0.08947033058060005,0.1745936946119091,0.10991444473529201
122,4,4.574168775557857,0.18228955152123558,0.18228955152123558,0.18228955152123558,0.18228955152123558,0.04147901632977575,0.09635185309311087,0.04603083459465841,0.09074457368896441,0.18228955152123558,0.11130818778425455
123,4,4.383579439635129,0.17838994676483996,0.17838994676483996,0.17838994676483996,0.17838994676483996,0.04010051260431909,0.10214714439210926,0.04123416261515523,0.07854109897641764,0.17838994676483996,0.08348080983154875
124,4,4.215182880016085,0.1808202605081729,0.1808202605081729,0.1808202605081729,0.1808202605081729,0.035419997557405436,0.10950286470846535,0.04265230786357328,0.06201224373268217,0.1808202605081729,0.08079359172928668
125,4,4.046004967555561,0.19446213352858308,0.19446213352858308,0.19446213352858308,0.19446213352858308,0.034755169626755754,0.11942507049586219,0.046120072804715695,0.05837318747021793,0.19446213352858308,0.08766734765351948
126,4,3.962830155626866,0.17834859082041102,0.17834859082041102,0.17834859082041102,0.17834859082041102,0.03240106210755138,0.11849618653225598,0.04313366134814672,0.052645312976708214,0.17834859082041102,0.078621664252056
127,4,3.8910414451149573,0.19421817071405995,0.19421817071405995,0.19421817071405995,0.19421817071405995,0.03412815412741787,0.12246852399430554,0.046580059387239074,0.05849825811328051,0.19421817071405995,0.08821682788911553
