task_id,round_in_task,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss
4,21,141,5.99,5.99,0.93,0.75,5.99,7.0,5.99,5.99,0.62,0.72,7.3731
4,22,142,5.99,5.99,0.75,0.88,5.99,6.93,5.99,5.99,0.56,0.71,7.3766
4,23,143,5.99,5.99,0.99,1.54,5.99,6.9,5.99,5.99,0.5,0.71,7.4855
4,24,144,5.99,5.99,0.91,1.37,5.99,6.92,5.99,5.99,0.49,0.71,7.2714
4,25,145,5.99,5.99,0.72,1.01,5.99,6.92,5.99,5.99,0.49,0.71,7.2978
4,26,146,5.99,5.99,0.66,0.8,5.99,6.93,5.99,5.99,0.49,0.71,7.1661
4,27,147,5.99,5.99,0.62,0.72,5.99,6.92,5.99,5.99,0.5,0.71,7.1147
4,28,148,5.99,5.99,0.66,0.76,5.99,6.93,5.99,5.99,0.51,0.71,7.023
4,29,149,5.99,5.99,0.71,0.76,5.99,6.93,5.99,5.99,0.51,0.71,7.0646
4,30,150,5.99,5.99,0.72,0.73,5.99,6.93,5.99,5.99,0.51,0.71,7.0731
5,1,151,0.61,0.61,0.06,0.01,0.61,2.94,0.61,0.61,0.12,0.03,10.7972
5,2,152,1.91,1.91,0.12,0.05,1.91,2.95,1.91,1.91,0.13,0.08,10.2012
5,3,153,9.11,9.11,1.59,1.6,9.11,8.24,9.11,9.11,2.52,2.62,9.2049
5,4,154,5.71,5.71,3.13,1.2,5.71,2.86,5.71,5.71,0.5,0.99,8.6914
5,5,155,5.71,5.71,0.25,0.49,5.71,2.88,5.71,5.71,0.46,0.89,8.4331
5,6,156,5.72,5.72,1.01,0.72,5.72,2.84,5.72,5.72,0.56,1.01,8.5773
5,7,157,5.72,5.72,0.39,0.57,5.72,3.12,5.72,5.72,0.53,0.98,8.1041
5,8,158,5.73,5.73,0.86,0.75,5.73,5.08,5.73,5.73,0.59,1.03,8.2115
5,9,159,7.75,7.75,1.65,1.28,7.75,9.93,7.75,7.75,2.28,2.0,7.6441
5,10,160,5.74,5.74,0.62,0.62,5.74,5.78,5.74,5.74,0.54,0.94,8.1415
5,11,161,5.75,5.75,0.39,0.54,5.75,5.76,5.75,5.75,0.51,0.87,7.9847
5,12,162,6.22,6.22,0.53,0.62,6.22,7.92,6.22,6.22,0.67,0.97,7.3742
5,13,163,6.26,6.26,0.65,0.62,6.26,8.26,6.26,6.26,0.65,0.91,7.526
5,14,164,6.16,6.16,0.47,0.55,6.16,7.75,6.16,6.16,0.6,0.87,7.5686
5,15,165,6.21,6.21,0.51,0.58,6.21,8.31,6.21,6.21,0.64,0.9,7.3528
5,16,166,6.28,6.28,0.72,0.7,6.28,8.44,6.28,6.28,0.71,0.93,7.1728
5,17,167,6.3,6.3,0.76,0.72,6.3,8.47,6.3,6.3,0.72,0.94,7.1112
5,18,168,6.3,6.3,0.74,0.71,6.3,8.47,6.3,6.3,0.71,0.94,7.0705
5,19,169,6.29,6.29,0.71,0.69,6.29,8.46,6.29,6.29,0.7,0.93,7.0274
5,20,170,6.27,6.27,0.67,0.67,6.27,8.45,6.27,6.27,0.69,0.93,6.9902
5,21,171,6.25,6.25,0.64,0.66,6.25,8.43,6.25,6.25,0.68,0.92,6.9856
5,22,172,6.24,6.24,0.65,0.66,6.24,8.43,6.24,6.24,0.68,0.92,6.9601
5,23,173,6.24,6.24,0.62,0.65,6.24,8.42,6.24,6.24,0.67,0.93,6.9498
5,24,174,6.23,6.23,0.6,0.64,6.23,8.42,6.23,6.23,0.66,0.93,6.9493
5,25,175,6.23,6.23,0.6,0.64,6.23,8.41,6.23,6.23,0.66,0.93,6.9258
5,26,176,6.24,6.24,0.65,0.67,6.24,8.43,6.24,6.24,0.68,0.93,6.8735
5,27,177,6.24,6.24,0.64,0.66,6.24,8.43,6.24,6.24,0.68,0.93,6.8508
5,28,178,6.25,6.25,0.64,0.65,6.25,8.43,6.25,6.25,0.68,0.93,6.8317
5,29,179,6.26,6.26,0.62,0.65,6.26,8.43,6.26,6.26,0.67,0.93,6.8248
5,30,180,6.26,6.26,0.61,0.64,6.26,8.43,6.26,6.26,0.67,0.92,6.8135
