Round,Task,Loss,Accuracy,Micro_P,Micro_R,Micro_F1,Macro_P,Macro_R,Macro_F1,Weighted_P,Weighted_R,Weighted_F1
121,4,5.079438126921956,0.0006923208643049615,0.0006923208643049615,0.0006923208643049615,0.0006923208643049615,5.521898571176101e-05,0.040777853352787226,0.00011003256280900698,2.4682757446918415e-06,0.0006923208643049615,4.917124354324883e-06
122,4,6.8882663414467755,0.06061365664193606,0.06061365664193606,0.06061365664193606,0.06061365664193606,0.003878297401403774,0.0537472199965856,0.007214885716933184,0.0037175432838032724,0.06061365664193606,0.007004011370106643
123,4,8.277108278179737,0.060506354732066385,0.060506354732066385,0.060506354732066385,0.060506354732066385,0.0047651986701828415,0.05079560503061506,0.008535859967855126,0.003733165774763204,0.060506354732066385,0.007020097505218828
124,4,8.4875793622577,0.06015225842949646,0.06015225842949646,0.06015225842949646,0.06015225842949646,0.0039746759969347765,0.044180208520197675,0.006996420353671928,0.0036802509275108337,0.06015225842949646,0.006926701372205057
125,4,8.680121786876596,0.06062878323061908,0.06062878323061908,0.06062878323061908,0.06062878323061908,0.01194875559812223,0.03556371109270197,0.005545214743699519,0.02338196616247754,0.06062878323061908,0.008371769741937424
126,4,8.580955729551015,0.06046492427242226,0.06046492427242226,0.06046492427242226,0.06046492427242226,0.016233564551218996,0.05719883781471569,0.005893121656701275,0.03411002413979837,0.06046492427242226,0.009372141312991288
127,4,8.955582350145054,0.06192475185315614,0.06192475185315614,0.06192475185315614,0.06192475185315614,0.006108302854455376,0.05353120016778797,0.0066978268821082446,0.012147922721886065,0.06192475185315614,0.01165458822492147
128,4,8.364957451042622,0.0603915267854628,0.0603915267854628,0.0603915267854628,0.0603915267854628,0.004917608182790965,0.052248646103797765,0.005333266329923553,0.008047962052982721,0.0603915267854628,0.00858109109341789
129,4,8.00892926189393,0.07420448673994294,0.07420448673994294,0.07420448673994294,0.07420448673994294,0.01760257618284416,0.06116236825381265,0.014606416971849511,0.038688367749797316,0.07420448673994294,0.029604806791728732
130,4,8.323044496091288,0.06055151095246988,0.06055151095246988,0.06055151095246988,0.06055151095246988,0.006658388479232543,0.06801673430352978,0.005841959755965453,0.0129998938844427,0.06055151095246988,0.008910280226593353
131,4,7.912034891640245,0.10717553206471676,0.10717553206471676,0.10717553206471676,0.10717553206471676,0.01282519536209985,0.07763204214191165,0.019787102710320994,0.019745421537775337,0.10717553206471676,0.031700718286484436
132,4,7.56389877021761,0.06115880995624615,0.06115880995624615,0.06115880995624615,0.06115880995624615,0.005482745726615911,0.0617038609402017,0.006366542319871497,0.01029950231560181,0.06115880995624615,0.010358018332112058
133,4,7.837947310379455,0.12003328147571124,0.12003328147571124,0.12003328147571124,0.12003328147571124,0.029372750667483107,0.09504381654217159,0.03156663261908045,0.0650052064211985,0.12003328147571124,0.06925273240442276
134,4,7.841727552983286,0.10235484473339126,0.10235484473339126,0.10235484473339126,0.10235484473339126,0.044356762366445264,0.098379062705699,0.02379623338403585,0.09455370551483733,0.10235484473339126,0.040168808034110964
135,4,7.937728752311925,0.0844257388071813,0.0844257388071813,0.0844257388071813,0.0844257388071813,0.0351604942079335,0.0711357359274232,0.02111645625067714,0.08020571225021787,0.0844257388071813,0.045741503903088
136,4,7.505293046360394,0.08956527674429314,0.08956527674429314,0.08956527674429314,0.08956527674429314,0.017999127744669947,0.08869413192373116,0.019532011149507776,0.020789149903520498,0.08956527674429314,0.02624661897289181
137,4,7.394396578198799,0.07456707777704422,0.07456707777704422,0.07456707777704422,0.07456707777704422,0.019299779069003525,0.08131942791820061,0.016643866312797368,0.01635663512915349,0.07456707777704422,0.017922372564593586
138,4,7.315349058269181,0.060283032632150124,0.060283032632150124,0.060283032632150124,0.060283032632150124,0.01630952843685398,0.07268953894279603,0.01046587054206765,0.010592176256884914,0.060283032632150124,0.00875897998396107
139,4,7.576251633360819,0.05999495681023612,0.05999495681023612,0.05999495681023612,0.05999495681023612,0.01706680891780911,0.0706061426457191,0.007848176725916462,0.013532929952420164,0.05999495681023612,0.008482802667328905
140,4,7.463728965643729,0.059955985352693184,0.059955985352693184,0.059955985352693184,0.059955985352693184,0.016844214447249595,0.07014323640671195,0.006384115840086707,0.017898872794227565,0.059955985352693184,0.007190941747868181
141,4,7.373140219291026,0.05993325821206106,0.05993325821206106,0.05993325821206106,0.05993325821206106,0.009287879978608223,0.06999629469460183,0.006178317351806856,0.007517862507600379,0.05993325821206106,0.007202074661129022
142,4,7.376644149837746,0.05992170835370703,0.05992170835370703,0.05992170835370703,0.05992170835370703,0.0074517846251866676,0.0692766982363038,0.005633798633451866,0.008785995575653642,0.05992170835370703,0.007129053007375896
143,4,7.485541176926229,0.05988817650687276,0.05988817650687276,0.05988817650687276,0.05988817650687276,0.009923234271736346,0.0690208872077028,0.004957857987104521,0.015421801066431031,0.05988817650687276,0.007058505089056344
144,4,7.271369225335829,0.059894659330594055,0.059894659330594055,0.059894659330594055,0.059894659330594055,0.009113516930333411,0.06916174294418899,0.004886556962672324,0.013735215107057821,0.059894659330594055,0.0070803546898609605
145,4,7.297779968374149,0.05988713329386014,0.05988713329386014,0.05988713329386014,0.05988713329386014,0.007152206042990567,0.06918753534700164,0.004883441953971903,0.010139815618838094,0.05988713329386014,0.007074725138633563
146,4,7.1660552449901855,0.059888847143809446,0.059888847143809446,0.059888847143809446,0.059888847143809446,0.006598726555063653,0.06925220824414537,0.004935851552874738,0.008029888313701633,0.059888847143809446,0.007120053228086669
147,4,7.1146774740426855,0.059887505869936075,0.059887505869936075,0.059887505869936075,0.059887505869936075,0.006239702215038896,0.06924114892846044,0.0049809601650385935,0.007206237454049331,0.059887505869936075,0.0071113594596526235
